Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,1,0,0,CAN,1.0,FOURNIER S,0 - 0,455,CAN,7:35,Saved,0
Action shot,5.0,1,0,0,CAN,1.0,RADICCHI F,0 - 0,426,ITA,7:06,Post,0
Centre shot,5.0,1,0,0,CAN,1.0,EGGENS M,0 - 0,397,CAN,6:37,Saved,0
Action shot,5.0,1,0,0,CAN,1.0,RADICCHI F,0 - 0,369,ITA,6:09,Blocked,0
Penalty shot,4.0,1,0,1,CAN,1.0,WRIGHT E,0 - 1,346,CAN,5:46,Goal,1
Action shot,12.0,1,0,1,CAN,1.0,DARIO S,0 - 1,319,ITA,5:19,Saved,0
Action shot,12.0,1,0,1,CAN,1.0,FOURNIER S,0 - 1,291,CAN,4:51,Saved,0
Action shot,10.0,1,0,1,CAN,1.0,ROBINSON C,0 - 1,263,CAN,4:23,Saved,0
Action shot,9.0,1,1,1,CAN,1.0,EMMOLO G,1 - 1,255,ITA,4:15,Goal,1
Action shot,5.0,1,1,2,CAN,1.0,EGGENS M,1 - 2,235,CAN,3:55,Goal,1
Action shot,2.0,1,1,2,CAN,1.0,TABANI C,1 - 2,213,ITA,3:33,Saved,0
Action shot,8.0,1,1,2,CAN,1.0,BIANCONI R,1 - 2,196,ITA,3:16,Saved,0
Action shot,6.0,1,1,2,CAN,1.0,CHRISTMAS K,1 - 2,183,CAN,3:03,Saved,0
Action shot,8.0,1,1,2,CAN,1.0,BIANCONI R,1 - 2,157,ITA,2:37,Missed,0
Action shot,5.0,1,1,2,CAN,1.0,EGGENS M,1 - 2,131,CAN,2:11,Saved,0
Extra player shot,8.0,1,1,2,CAN,1.0,BIANCONI R,1 - 2,122,ITA,2:02,Saved,0
Centre shot,10.0,1,1,2,CAN,1.0,ROBINSON C,1 - 2,96,CAN,1:36,Saved,0
Action shot,3.0,1,1,2,CAN,1.0,GARIBOTTI A,1 - 2,59,ITA,0:59,Saved,0
Action shot,5.0,1,1,2,CAN,2.0,EGGENS M,1 - 2,460,CAN,7:40,Saved,0
Action shot,7.0,1,1,2,CAN,2.0,PICOZZI D,1 - 2,432,ITA,7:12,Missed,0
Action shot,8.0,1,2,2,CAN,2.0,BIANCONI R,2 - 2,375,ITA,6:15,Goal,1
Action shot,7.0,1,2,2,CAN,2.0,PICOZZI D,2 - 2,295,ITA,4:55,Saved,0
Action shot,5.0,1,2,2,CAN,2.0,EGGENS M,2 - 2,268,CAN,4:28,Saved,0
Action shot,10.0,1,2,2,CAN,2.0,ROBINSON C,2 - 2,210,CAN,3:30,Post,0
5m shot,8.0,1,2,2,CAN,2.0,BIANCONI R,2 - 2,185,ITA,3:05,Saved,0
Action shot,4.0,1,2,2,CAN,2.0,QUEIROLO E,2 - 2,139,ITA,2:19,Saved,0
Action shot,7.0,1,2,2,CAN,2.0,PICOZZI D,2 - 2,78,ITA,1:18,Post,0
Action shot,8.0,1,3,2,CAN,2.0,BIANCONI R,3 - 2,34,ITA,0:34,Goal,1
Action shot,6.0,1,3,2,CAN,2.0,CHRISTMAS K,3 - 2,8,CAN,0:08,Missed,0
Action shot,8.0,1,3,2,CAN,2.0,BIANCONI R,3 - 2,1,ITA,0:01,Saved,0
Centre shot,4.0,1,4,2,CAN,3.0,QUEIROLO E,4 - 2,407,ITA,6:47,Goal,1
